Year,Quarter,Corn
1987,1,2508.00
1987,2,522.00
1987,3,10175.00
1987,4,4620.00
1988,1,1485.00
1988,2,990.00
1988,3,10324.00
1988,4,2250.00
1989,1,1735.00
1989,2,792.00
1989,3,11773.00
1989,4,2607.00
1990,1,676.00
1990,2,434.00
1990,3,7201.00
1990,4,3531.00
1991,1,1570.00
1991,2,167.00
1991,3,7298.00
1991,4,3182.00
1992,1,1742.00
1992,2,24.00
1992,3,6052.00
1992,4,2724.00
1993,1,2678.00
1993,2,144.00
1993,3,3900.00
1993,4,2680.00
1994,1,1250.00
1994,2,450.00
1994,3,9052.00
1994,4,4050.00
1995,1,2395.00
1995,2,320.00
1995,3,12320.00
1995,4,3703.00
1996,1,4363.00
1996,2,205.00
1996,3,12810.00
1996,4,5850.00
1997,1,3206.00
1997,2,443.00
1997,3,13740.00
1997,4,5104.00
1998,1,2181.00
1998,2,54.00
1998,3,12635.00
1998,4,6800.00
1999,1,2925.00
1999,2,3000.00
1999,3,21600.00
1999,4,4118.00
2000,1,5790.00
2000,2,1541.00
2000,3,11220.00
2000,4,3930.00
2001,1,3925.00
2001,2,1690.00
2001,3,12900.00
2001,4,4040.00
2002,1,1971.00
2002,2,1062.00
2002,3,15497.00
2002,4,440.00
2003,1,11500.00
2003,2,710.00
2003,3,12047.00
2003,4,3123.00
2004,1,5920.00
2004,2,483.00
2004,3,17866.00
2004,4,3261.00
2005,1,4510.00
2005,2,462.00
2005,3,17269.00
2005,4,3905.00
2006,1,6799.00
2006,2,658.00
2006,3,24461.00
2006,4,5242.00
2007,1,6131.00
2007,2,774.00
2007,3,24782.00
2007,4,7025.00
2008,1,7284.00
2008,2,1427.00
2008,3,25714.00
2008,4,6761.00
2009,1,12834.00
2009,2,1661.00
2009,3,25416.00
2009,4,7696.00
2010,1,12959.00
2010,2,725.00
2010,3,25673.00
2010,4,10184.00
2011,1,12932.00
2011,2,1295.00
2011,3,22006.00
2011,4,12552.00
2012,1,10747.00
2012,2,1355.00
2012,3,24046.00
2012,4,13290.00
2013,1,10839.00
2013,2,1381.00
2013,3,24679.00
2013,4,13556.00
2014,1,11578.00
2014,2,1278.00
2014,3,30554.00
2014,4,14231.00
