Year,Quarter,Palay
1987,1,12340
1987,2,3050
1987,3,5569
1987,4,10485
1988,1,6644
1988,2,7243
1988,3,7976
1988,4,9242
1989,1,9312
1989,2,5588
1989,3,9370
1989,4,7438
1990,1,8886
1990,2,4413
1990,3,6856
1990,4,7595
1991,1,7917
1991,2,7492
1991,3,7388
1991,4,8221
1992,1,10631
1992,2,3083
1992,3,4832
1992,4,9419
1993,1,10250
1993,2,3232
1993,3,9854
1993,4,3089
1994,1,11023
1994,2,10891
1994,3,11775
1994,4,14342
1995,1,16758
1995,2,13571
1995,3,9304
1995,4,16465
1996,1,8276
1996,2,20370
1996,3,23650
1996,4,6521
1997,1,14521
1997,2,13184
1997,3,10120
1997,4,12770
1998,1,17410
1998,2,7605
1998,3,8400
1998,4,13069
1999,1,12775
1999,2,6660
1999,3,15698
1999,4,18800
2000,1,12604
2000,2,7161
2000,3,12181
2000,4,27788
2001,1,12286
2001,2,15180
2001,3,10032
2001,4,23338
2002,1,15872
2002,2,10854
2002,3,5880
2002,4,19775
2003,1,16506
2003,2,10302
2003,3,9245
2003,4,15364
2004,1,18898
2004,2,11918
2004,3,9302
2004,4,17666
2005,1,19546
2005,2,10973
2005,3,9872
2005,4,18301
2006,1,19915
2006,2,11803
2006,3,10504
2006,4,18891
2007,1,14899
2007,2,18802
2007,3,9440
2007,4,20283
2008,1,20182
2008,2,13610
2008,3,16145
2008,4,22492
2009,1,17786
2009,2,13852
2009,3,17205
2009,4,25378
2010,1,18527
2010,2,14041
2010,3,17851
2010,4,26661
2011,1,18124
2011,2,18086
2011,3,13709
2011,4,26488
2012,1,15104
2012,2,21302
2012,3,16440
2012,4,24391
2013,1,18045
2013,2,20106
2013,3,22195
2013,4,20839
2014,1,17083
2014,2,18683
2014,3,31877
2014,4,19560
